Time	Gx	Gy	Gz	Ax	Ay	Az
3355	-0.20	-0.27	-0.32	0.11	0.00	0.97
3373	0.02	-0.31	-0.26	0.11	0.00	0.96
3393	0.00	-0.26	-0.32	0.11	0.01	0.97
3411	0.08	-0.27	-0.34	0.10	0.01	0.96
3429	0.05	-0.31	-0.34	0.11	0.01	0.96
3448	-0.17	-0.20	-0.38	0.11	0.00	0.97
3466	-0.23	-0.18	-0.37	0.10	0.00	0.96
3487	-0.15	-0.23	-0.41	0.11	0.00	0.96
3505	0.00	-0.29	-0.32	0.11	0.01	0.96
3523	0.02	-0.20	-0.37	0.11	0.01	0.96
3542	-0.08	-0.35	-0.37	0.11	0.01	0.96
3561	-0.23	-0.24	-0.41	0.11	0.00	0.97
3581	-0.08	-0.23	-0.29	0.11	0.00	0.96
3599	0.08	-0.24	-0.38	0.11	0.00	0.96
3619	0.08	-0.21	-0.46	0.11	0.01	0.97
3637	0.05	-0.23	-0.35	0.11	0.01	0.96
3655	0.00	-0.26	-0.32	0.11	0.01	0.97
3674	-0.14	-0.26	-0.37	0.11	0.01	0.96
3693	-0.08	-0.26	-0.35	0.11	0.00	0.97
3712	0.00	-0.29	-0.49	0.11	0.00	0.97
3731	-0.03	-0.23	-0.38	0.10	0.00	0.96
3749	-0.15	-0.27	-0.38	0.11	0.01	0.97
3768	-0.20	-0.21	-0.37	0.11	0.01	0.96
3788	-0.29	-0.26	-0.29	0.11	0.00	0.97
3807	-0.06	-0.34	-0.44	0.11	0.00	0.97
3826	0.02	-0.23	-0.40	0.11	0.00	0.96
3844	0.03	-0.27	-0.35	0.11	0.01	0.97
3862	-0.05	-0.21	-0.34	0.11	0.01	0.96
3881	-0.05	-0.29	-0.41	0.11	0.00	0.97
3901	-0.21	-0.27	-0.32	0.11	0.00	0.96
3919	-0.08	-0.23	-0.40	0.11	0.00	0.97
3939	-0.08	-0.23	-0.29	0.10	0.01	0.97
3957	-0.05	-0.21	-0.46	0.11	0.00	0.97
3976	-0.03	-0.23	-0.34	0.11	0.00	0.96
3996	-0.12	-0.35	-0.31	0.11	0.00	0.96
4014	-0.14	-0.24	-0.37	0.11	0.01	0.97
4034	-0.02	-0.34	-0.34	0.10	0.00	0.96
4053	-0.02	-0.34	-0.38	0.11	0.00	0.96
4071	0.08	-0.24	-0.38	0.11	0.01	0.97
4090	-0.06	-0.24	-0.35	0.11	0.01	0.96
4109	-0.12	-0.14	-0.37	0.10	0.01	0.97
4129	-0.20	-0.23	-0.37	0.11	0.01	0.96
4147	-0.08	-0.32	-0.41	0.11	0.00	0.97
4166	-0.08	-0.18	-0.29	0.11	0.00	0.96
4185	-0.06	-0.23	-0.38	0.11	0.01	0.96
4204	-0.03	-0.27	-0.34	0.11	0.01	0.97
4224	-0.09	-0.29	-0.32	0.11	0.01	0.96
4242	-0.17	-0.26	-0.37	0.11	0.00	0.97
4261	-0.03	-0.17	-0.37	0.10	0.00	0.97
4280	-0.11	-0.26	-0.37	0.11	0.01	0.97
4299	0.08	-0.24	-0.37	0.10	0.01	0.97
4318	-0.09	-0.17	-0.47	0.11	0.01	0.96
4337	-0.09	-0.21	-0.43	0.10	0.01	0.96
4356	-0.06	-0.26	-0.34	0.11	0.00	0.96
4375	-0.17	-0.29	-0.31	0.11	0.00	0.97
4393	-0.09	-0.23	-0.37	0.11	0.00	0.97
4414	-0.05	-0.31	-0.41	0.11	0.01	0.96
4432	-0.02	-0.23	-0.44	0.10	0.01	0.97
4452	-0.11	-0.27	-0.35	0.10	0.01	0.96
4470	-0.06	-0.29	-0.31	0.11	0.00	0.97
4489	-0.12	-0.21	-0.34	0.10	0.00	0.96
4509	-0.08	-0.23	-0.35	0.11	0.01	0.96
4528	0.06	-0.29	-0.37	0.11	0.01	0.96
4547	0.03	-0.29	-0.34	0.11	0.01	0.97
4565	-0.08	-0.29	-0.31	0.11	0.01	0.96
4583	-0.12	-0.24	-0.35	0.11	0.01	0.96
4602	-0.17	-0.18	-0.29	0.11	0.00	0.97
4621	-0.17	-0.24	-0.32	0.11	0.01	0.97
4639	-0.08	-0.23	-0.40	0.11	0.01	0.96
4658	0.02	-0.24	-0.21	0.10	0.01	0.97
4676	-0.15	-0.23	-0.37	0.11	0.01	0.96
4694	-0.20	-0.27	-0.35	0.11	0.01	0.97
4715	-0.15	-0.23	-0.27	0.11	0.00	0.97
4734	0.09	-0.21	-0.32	0.10	0.01	0.97
4752	0.03	-0.23	-0.40	0.10	0.01	0.97
4771	0.02	-0.23	-0.32	0.11	0.01	0.96
4789	-0.08	-0.29	-0.34	0.11	0.01	0.96
4808	-0.17	-0.31	-0.31	0.11	0.00	0.96
4827	-0.18	-0.26	-0.32	0.11	0.00	0.97
4847	-0.05	-0.21	-0.40	0.11	0.00	0.96
4866	-0.05	-0.27	-0.35	0.11	0.01	0.96
4884	-0.15	-0.21	-0.34	0.10	0.01	0.96
4904	-0.11	-0.27	-0.37	0.11	0.01	0.96
4923	-0.14	-0.18	-0.35	0.10	0.00	0.97
4942	-0.05	-0.15	-0.37	0.11	0.00	0.96
