Time	Gx	Gy	Gz	Ax	Ay	Az
12650	8.65	-194.73	-14.98	-0.25	-0.00	0.45
12669	10.21	-208.98	-14.50	-0.25	0.02	0.50
12688	10.77	-237.20	-14.53	-0.25	0.03	0.63
12707	12.77	-262.86	-18.80	-0.22	-0.01	0.71
12726	18.11	-283.31	-22.25	-0.15	0.00	0.79
12745	18.97	-295.76	-22.93	-0.13	0.04	0.90
12763	18.40	-306.30	-23.54	-0.08	0.02	1.04
12783	21.80	-307.77	-23.73	0.09	0.02	1.19
12801	22.66	-301.47	-21.19	0.09	0.07	1.34
12820	20.83	-289.34	-13.00	0.05	0.05	1.42
12838	22.06	-283.14	-6.93	0.18	0.01	1.63
12856	24.93	-264.33	-0.98	0.23	0.05	1.84
12875	23.70	-251.40	8.68	0.02	0.03	2.05
12892	25.80	-255.83	11.60	-0.05	-0.01	2.15
12911	35.10	-273.74	11.29	0.02	-0.04	2.33
12929	41.00	-281.68	10.65	0.07	0.04	2.59
12947	43.56	-297.16	9.00	-0.16	0.04	2.68
12965	45.52	-314.47	6.48	-0.01	0.11	2.69
12982	43.79	-337.80	1.36	0.16	0.12	2.73
13000	39.06	-327.18	-4.27	0.30	0.11	2.80
13018	37.90	-313.66	-9.45	0.19	0.06	2.75
13036	44.02	-309.84	-9.38	0.21	0.06	2.75
13054	46.17	-306.53	-8.07	0.25	0.10	2.74
13072	43.88	-295.00	-3.48	0.26	0.14	2.69
13090	38.30	-286.48	5.57	0.19	0.14	2.61
13110	32.99	-286.25	16.17	0.08	0.05	2.49
13128	39.99	-302.70	34.04	-0.14	-0.03	2.27
13146	45.78	-319.09	45.53	-0.15	-0.08	2.12
13165	58.23	-349.82	68.73	-0.07	-0.07	1.81
13184	59.31	-365.22	90.26	0.14	0.03	1.55
13201	45.14	-351.44	105.16	0.40	0.08	1.31
13220	25.51	-307.40	109.62	0.57	0.06	1.07
13237	16.57	-278.72	107.09	0.59	0.04	0.97
13255	4.20	-219.57	92.03	0.56	-0.00	0.81
13273	-0.76	-165.68	66.39	0.47	-0.05	0.70
13292	2.12	-123.14	38.47	0.37	-0.08	0.61
13311	4.85	-105.68	25.77	0.33	-0.07	0.56
13329	10.83	-72.88	2.69	0.34	-0.07	0.55
13346	16.08	-35.32	-18.08	0.46	-0.05	0.55
13366	18.34	20.10	-36.42	0.69	-0.01	0.58
13383	16.36	99.90	-49.61	0.82	0.01	0.60
13402	14.45	144.01	-52.25	0.81	0.01	0.59
13419	10.44	231.00	-51.09	0.82	0.02	0.58
13438	5.75	317.54	-46.39	0.84	0.02	0.60
13456	2.62	404.69	-34.23	0.88	0.01	0.72
13474	-1.27	491.09	-19.79	0.84	0.07	0.94
13491	-4.38	499.98	-13.87	0.75	0.09	1.10
13510	-10.31	499.73	-3.68	0.32	0.12	1.52
13528	-15.40	499.98	4.03	-0.26	0.12	2.16
13547	-21.22	496.58	-1.21	-0.80	0.07	2.77
13566	-16.88	379.85	-19.18	-1.01	-0.04	3.08
13584	-10.64	310.00	-27.79	-0.79	-0.09	3.04
13604	5.84	190.92	-44.37	-0.54	-0.06	3.00
13623	16.92	133.22	-60.01	0.12	0.03	2.94
13641	15.01	159.44	-65.26	0.71	0.15	2.83
13659	0.78	234.50	-59.34	0.67	0.18	2.57
13676	-7.86	267.82	-53.45	0.51	0.21	2.42
13695	-27.08	320.05	-38.18	0.47	0.22	2.35
13713	-45.04	358.73	-25.60	0.27	0.18	2.20
13732	-53.39	370.47	-22.95	0.00	0.02	2.11
13750	-42.28	351.81	-20.81	-0.21	-0.09	2.02
13769	-24.58	313.86	-11.17	-0.27	-0.03	1.92
13789	-12.73	276.99	-3.02	-0.18	-0.01	1.77
13808	-8.26	262.88	-1.88	-0.12	-0.01	1.51
13828	-1.25	240.98	-4.07	-0.02	0.02	1.27
13846	1.19	231.40	-7.11	0.02	0.04	1.16
13864	-3.57	232.79	-6.99	0.03	0.07	0.94
13883	-12.31	232.83	-4.24	-0.02	0.06	0.76
13901	-19.44	228.36	1.21	-0.04	0.02	0.62
13920	-21.19	225.46	4.20	-0.04	-0.04	0.50
13939	-19.38	219.79	8.87	-0.05	-0.06	0.45
13958	-12.89	212.83	10.01	-0.04	-0.08	0.37
13977	-5.83	207.60	11.63	-0.03	-0.06	0.28
13995	-1.88	201.25	14.94	-0.06	-0.05	0.18
14015	0.70	191.59	16.11	-0.08	-0.06	0.11
14033	4.33	178.10	15.05	-0.12	-0.09	0.04
14052	7.13	169.78	14.94	-0.11	-0.09	-0.01
14070	11.47	153.29	17.21	-0.11	-0.06	-0.04
14088	10.73	137.25	20.11	-0.14	-0.03	-0.10
14108	7.39	116.81	19.29	-0.17	-0.04	-0.16
14126	5.04	93.41	15.01	-0.14	-0.05	-0.20
14146	0.89	75.47	9.38	-0.12	-0.03	-0.27
14164	-4.33	60.47	4.10	-0.13	-0.04	-0.34
14183	-6.39	51.57	1.51	-0.15	-0.04	-0.37
14203	-8.77	33.39	-4.35	-0.12	-0.06	-0.42
14222	-8.22	21.74	-9.19	-0.10	-0.06	-0.44
14243	-7.43	11.89	-12.62	-0.09	-0.05	-0.48
14262	-6.91	3.27	-12.92	-0.09	-0.05	-0.48
14283	-5.94	-4.27	-11.15	-0.08	-0.05	-0.47
14302	-2.82	-10.71	-10.93	-0.07	-0.06	-0.46
14322	0.60	-15.66	-11.43	-0.06	-0.05	-0.44
14343	2.32	-19.03	-9.14	-0.07	-0.04	-0.42
14362	3.56	-25.83	-6.38	-0.07	-0.04	-0.37
14382	6.21	-35.11	-3.81	-0.08	-0.05	-0.32
14401	9.37	-44.57	-1.27	-0.06	-0.04	-0.27
14422	10.89	-52.31	1.82	-0.07	-0.04	-0.21
14441	12.22	-63.23	4.36	-0.10	-0.03	-0.13
14460	14.22	-77.65	6.71	-0.09	-0.03	-0.05
14480	15.30	-90.32	9.37	-0.10	-0.02	0.06
14498	15.34	-96.44	10.99	-0.13	-0.02	0.11
14517	15.58	-117.63	13.53	-0.21	-0.01	0.20
14535	15.34	-145.98	15.06	-0.25	-0.01	0.31
14554	14.45	-176.35	17.70	-0.26	0.02	0.42
14573	10.18	-207.72	20.69	-0.28	0.06	0.53
14591	5.04	-240.72	19.32	-0.29	0.03	0.63
14610	3.80	-257.48	16.95	-0.29	0.02	0.69
14628	1.86	-287.98	12.86	-0.23	0.07	0.81
14646	-5.13	-310.96	9.41	-0.19	0.07	0.91
14666	-6.01	-328.55	1.40	-0.11	-0.03	1.03
14685	-0.63	-335.65	-6.26	-0.01	0.04	1.18
14704	-1.10	-333.34	-8.88	0.05	0.05	1.33
14722	-0.78	-330.12	-10.53	0.10	-0.06	1.49
14742	8.54	-321.95	-16.80	0.16	-0.07	1.59
14761	18.11	-305.37	-17.90	0.19	0.05	1.79
14779	17.72	-291.79	-12.07	0.13	0.04	2.01
14798	21.18	-287.73	-11.95	0.16	-0.00	2.18
14816	24.48	-278.21	-9.75	0.22	0.11	2.36
14834	22.14	-272.87	-5.46	0.03	0.04	2.53
14854	22.32	-279.62	2.79	-0.05	-0.01	2.57
14872	29.77	-302.47	7.08	-0.02	0.06	2.66
14891	28.84	-316.01	19.71	0.07	0.17	2.88
14908	20.81	-324.31	38.01	0.07	0.13	2.98
14926	18.45	-328.29	44.53	0.18	0.11	2.91
14944	17.38	-327.48	47.99	0.25	0.08	2.88
14962	19.59	-313.45	49.51	0.29	0.10	2.86
14980	16.27	-299.16	47.85	0.26	0.16	2.82
14997	12.30	-293.88	43.59	0.14	0.20	2.76
15015	-0.09	-292.33	27.05	-0.04	0.27	2.72
15034	-22.86	-325.38	-3.16	-0.29	0.26	2.53
15053	-35.16	-376.46	-34.82	-0.22	0.03	2.33
15074	-14.19	-404.43	-54.63	0.12	-0.22	2.02
15093	26.66	-388.44	-54.67	0.42	-0.29	1.65
15111	63.42	-341.75	-38.35	0.53	-0.15	1.28
15130	74.86	-285.86	-12.76	0.56	0.05	1.01
15148	70.56	-256.91	1.16	0.55	0.11	0.90
15167	51.04	-204.16	27.95	0.45	0.15	0.75
15185	27.04	-162.40	50.03	0.38	0.14	0.66
15202	8.85	-127.30	64.01	0.40	0.07	0.60
15221	3.13	-104.48	67.75	0.47	-0.01	0.57
15239	0.44	-55.36	67.25	0.53	-0.03	0.57
15257	5.17	4.18	56.79	0.66	-0.07	0.56
15275	14.22	78.28	38.64	0.77	-0.07	0.56
15293	24.73	160.34	18.40	0.80	-0.09	0.56
15311	30.50	201.95	9.35	0.82	-0.08	0.56
15329	40.37	288.28	-6.59	0.86	-0.05	0.59
15347	46.54	375.35	-19.07	0.86	-0.01	0.69
15366	46.40	460.08	-22.00	0.82	0.13	0.84
15383	40.63	496.09	-21.15	0.71	0.24	1.09
15402	19.85	499.63	-17.62	0.60	0.25	1.27
15419	-2.17	499.98	-12.62	0.18	0.24	1.81
15437	-20.57	499.98	-5.25	-0.36	0.20	2.43
15456	-27.21	489.04	-8.79	-0.84	0.04	2.99
15475	-23.32	430.62	-17.21	-1.05	-0.14	3.16
15495	0.03	284.90	-38.42	-0.79	-0.13	2.99
15513	25.77	165.19	-55.47	-0.49	-0.06	2.94
15532	37.32	118.12	-67.86	0.28	0.07	2.92
15550	32.26	163.93	-72.89	0.88	0.20	2.81
15568	10.71	256.45	-64.93	0.78	0.29	2.51
15587	-3.25	296.08	-57.16	0.52	0.27	2.26
15604	-27.85	351.67	-42.63	0.41	0.23	2.15
15623	-43.43	381.41	-37.09	0.25	0.13	1.99
15642	-45.46	394.82	-39.03	0.13	-0.00	1.90
15660	-33.13	391.28	-36.56	-0.08	-0.09	1.79
15681	-15.79	360.28	-30.50	-0.30	-0.08	1.67
15699	-3.27	310.88	-25.34	-0.30	-0.02	1.55
15719	2.64	269.21	-18.89	-0.15	0.00	1.40
15737	4.21	255.80	-14.69	-0.08	0.02	1.30
15755	2.49	241.53	-5.94	-0.03	0.06	1.04
15774	-4.17	230.47	1.31	-0.06	0.04	0.81
