Time	Gx	Gy	Gz	Ax	Ay	Az
10315	-1.79	75.87	5.89	0.13	-0.08	0.84
10335	-0.47	81.94	4.36	0.08	-0.08	0.72
10353	1.60	91.20	2.30	0.08	-0.07	0.65
10371	2.18	97.95	1.14	0.06	-0.06	0.55
10388	2.46	103.97	-0.93	0.04	-0.05	0.44
10406	2.56	108.06	-3.19	0.02	-0.06	0.36
10425	2.93	109.47	-3.95	0.02	-0.07	0.34
10443	4.75	111.43	-4.75	0.02	-0.05	0.30
10462	4.71	114.61	-5.34	0.02	-0.04	0.27
10480	3.51	113.83	-5.10	-0.05	-0.03	0.26
10498	1.16	106.37	-4.15	-0.14	-0.01	0.29
10518	-2.35	83.42	-1.48	-0.33	-0.02	0.38
10536	-3.39	63.29	0.27	-0.40	-0.04	0.43
10556	-2.21	18.52	3.08	-0.30	-0.06	0.56
10575	-0.23	-10.27	5.16	-0.12	-0.02	0.72
10594	-0.09	-17.88	6.24	0.05	0.00	0.86
10612	-0.67	-6.27	5.31	0.20	0.01	1.00
10630	-1.75	20.42	1.51	0.24	0.02	1.11
10648	-2.81	34.30	-1.19	0.19	0.03	1.12
10666	-5.02	50.20	-6.58	0.02	-0.01	1.10
10684	-4.35	46.80	-8.79	-0.14	-0.05	1.04
10704	-1.59	26.99	-7.40	-0.25	-0.05	0.96
10723	0.21	-3.34	-4.23	-0.30	-0.04	0.88
10742	1.80	-35.66	1.28	-0.28	-0.05	0.83
10761	3.01	-49.73	4.88	-0.20	-0.04	0.80
10781	4.10	-70.65	12.82	-0.10	-0.02	0.81
10800	2.40	-78.55	19.70	-0.06	-0.01	0.82
10819	-1.07	-75.44	24.08	0.01	-0.00	0.85
10837	-5.07	-66.25	24.61	0.01	-0.01	0.89
10856	-7.42	-58.58	21.56	-0.04	-0.02	0.91
10876	-8.74	-56.92	15.18	-0.08	-0.04	0.93
10895	-8.44	-58.69	7.13	-0.11	-0.06	0.93
10914	-6.23	-62.01	-2.11	-0.11	-0.06	0.94
10933	-4.81	-63.37	-6.85	-0.08	-0.07	0.94
10953	-1.16	-63.40	-14.91	-0.06	-0.07	0.93
10973	2.96	-58.73	-19.42	-0.01	-0.05	0.93
10992	4.17	-48.40	-20.07	0.04	-0.03	0.92
11011	3.27	-33.34	-17.18	0.08	-0.02	0.90
11029	1.34	-15.52	-11.29	0.10	-0.01	0.85
11049	-0.66	2.94	-5.48	0.12	-0.01	0.80
11068	-2.91	19.84	-2.37	0.11	-0.02	0.75
11086	-3.59	26.92	-1.94	0.09	-0.02	0.73
11105	-3.40	38.94	-2.26	0.09	-0.02	0.72
11123	-2.46	48.36	-4.04	0.07	-0.02	0.72
11143	-1.11	52.73	-7.06	0.02	-0.03	0.72
11162	0.75	50.74	-10.30	-0.03	-0.04	0.71
11180	2.93	41.52	-13.61	-0.10	-0.04	0.70
11199	4.82	23.88	-16.71	-0.17	-0.04	0.68
11218	5.77	11.87	-18.45	-0.20	-0.03	0.66
11237	7.81	-17.78	-21.84	-0.25	-0.03	0.60
11255	9.75	-50.60	-24.81	-0.25	-0.04	0.55
11276	12.04	-82.09	-26.70	-0.22	-0.04	0.50
11295	13.09	-108.20	-26.64	-0.14	-0.03	0.50
11313	12.89	-124.68	-23.90	-0.04	-0.01	0.58
11333	10.13	-127.46	-19.26	0.10	0.01	0.68
11350	8.33	-123.23	-16.75	0.22	0.01	0.78
11370	5.63	-103.82	-12.71	0.29	-0.02	0.84
11389	5.34	-75.68	-9.40	0.31	-0.01	0.86
11407	4.18	-44.85	-6.32	0.32	0.01	0.90
11426	2.61	-14.01	-3.86	0.32	-0.00	1.00
11444	2.85	14.33	-1.43	0.26	-0.01	1.12
