Time	Gx	Gy	Gz	Ax	Ay	Az
22082	-2.52	-43.40	-39.87	-0.03	0.02	0.23
22102	4.61	-43.08	-28.52	0.01	-0.00	0.31
22121	8.94	-43.15	-23.91	0.06	0.06	0.38
22140	13.44	-34.67	-13.44	0.06	0.06	0.41
22158	15.84	-31.25	-2.52	0.10	0.08	0.46
22177	16.78	-19.18	4.91	0.15	0.12	0.55
22194	13.58	-3.59	11.75	0.19	0.15	0.67
22212	11.93	4.36	15.82	0.20	0.14	0.80
22230	9.89	20.36	22.52	0.20	0.18	0.86
22247	3.08	32.21	23.48	0.16	0.24	0.98
22265	-5.52	37.52	24.58	0.10	0.16	1.09
22283	-6.03	36.71	27.15	0.05	0.16	1.15
22301	-6.26	31.04	33.20	0.03	0.19	1.17
22320	-11.32	23.13	34.58	0.09	0.18	1.30
22338	-10.28	15.30	35.89	0.02	0.09	1.38
22355	-3.95	0.82	42.83	0.03	0.10	1.39
22374	-0.93	-5.10	46.86	0.11	0.09	1.45
22392	6.90	-6.42	50.80	0.19	0.10	1.56
22409	12.30	-6.39	51.36	0.14	0.13	1.55
22427	13.02	-9.48	49.82	0.19	0.17	1.59
22444	11.78	-8.65	48.49	0.23	0.21	1.62
22463	3.40	-2.14	46.34	0.27	0.27	1.63
22480	-7.49	8.24	43.99	0.31	0.24	1.75
22498	-13.14	19.41	39.64	0.33	0.22	1.84
22515	-14.45	25.19	36.76	0.29	0.18	1.79
22534	-12.12	28.46	30.46	0.17	0.11	1.73
22552	-4.14	22.09	23.91	0.14	0.07	1.71
22569	6.96	12.86	18.08	0.12	0.04	1.70
22586	13.70	7.71	15.06	0.11	0.03	1.67
22603	26.70	-2.76	8.79	0.13	0.07	1.62
22621	31.31	-8.04	2.50	0.18	0.17	1.58
22638	29.50	-8.21	-0.38	0.22	0.24	1.55
22656	19.96	-4.07	-6.53	0.23	0.26	1.53
22675	7.29	4.91	-12.47	0.27	0.24	1.49
22693	-2.37	18.19	-17.72	0.28	0.22	1.45
22711	-9.84	31.36	-20.45	0.20	0.20	1.40
22729	-12.12	34.47	-20.52	0.14	0.17	1.38
22748	-12.34	31.01	-18.74	0.04	0.12	1.31
22766	-7.25	21.21	-14.50	0.01	0.07	1.24
22784	2.03	10.41	-8.85	-0.01	0.05	1.17
22801	7.39	4.81	-5.62	-0.03	0.06	1.10
22819	16.82	-7.26	1.71	-0.02	0.06	1.06
22837	24.49	-16.13	8.94	-0.00	0.08	0.99
22855	29.01	-22.16	15.11	-0.01	0.10	0.93
22874	31.71	-29.45	20.16	-0.02	0.13	0.88
22892	31.97	-32.88	22.09	0.00	0.14	0.86
22910	29.85	-33.69	24.11	0.06	0.18	0.80
22927	23.22	-28.17	23.76	0.08	0.21	0.72
22945	13.85	-20.94	20.11	0.07	0.21	0.67
22965	5.74	-15.09	12.88	0.06	0.21	0.61
22983	1.11	-12.33	8.04	0.08	0.22	0.57
23002	-9.22	-5.92	-4.03	0.07	0.23	0.51
23020	-21.00	1.08	-17.36	0.05	0.23	0.44
23039	-33.77	3.91	-31.89	0.05	0.21	0.37
23058	-43.64	8.82	-46.80	0.08	0.13	0.27
23076	-46.01	10.57	-53.36	0.07	0.06	0.18
23095	-46.42	16.40	-63.84	0.05	0.05	0.14
23113	-45.24	17.62	-69.44	0.00	0.02	0.09
23131	-42.19	12.19	-72.78	-0.01	-0.00	0.06
23151	-38.42	11.22	-72.69	-0.01	-0.01	0.06
23170	-33.22	12.01	-68.68	-0.03	-0.02	0.08
23190	-25.76	9.61	-62.12	-0.05	-0.03	0.11
23209	-15.84	2.20	-54.23	-0.06	-0.03	0.16
23228	-10.50	-2.14	-49.67	-0.07	-0.01	0.19
23249	-1.88	-12.39	-38.62	-0.07	0.00	0.25
23268	5.80	-24.57	-24.96	-0.05	0.01	0.29
23288	10.83	-26.70	-12.34	-0.01	0.05	0.34
23306	13.69	-30.61	-1.50	0.01	0.06	0.42
