Time	Gx	Gy	Gz	Ax	Ay	Az
31216	31.05	15.70	37.52	-0.02	-0.03	0.09
31235	22.98	11.18	42.42	-0.04	-0.07	0.11
31253	16.57	3.19	43.78	-0.08	-0.04	0.14
31273	7.46	-8.93	44.88	-0.10	-0.03	0.19
31291	3.23	-15.79	44.56	-0.11	-0.05	0.20
31310	-2.24	-29.65	40.21	-0.08	-0.09	0.23
31330	-4.24	-38.38	32.03	-0.04	-0.09	0.26
31349	-7.72	-44.33	26.46	-0.04	-0.04	0.31
31369	-13.64	-50.74	25.02	-0.03	-0.07	0.37
31388	-14.04	-54.09	18.28	0.06	-0.10	0.38
31407	-14.62	-49.79	8.45	0.06	-0.04	0.44
31426	-19.01	-47.03	4.61	0.06	-0.03	0.56
31445	-22.74	-44.65	4.14	0.10	-0.03	0.67
31465	-23.73	-41.96	2.55	0.20	-0.05	0.80
31483	-23.48	-29.02	-1.85	0.20	-0.04	0.85
31503	-20.95	-17.35	0.67	0.15	-0.06	0.96
31522	-13.14	-7.42	5.87	0.23	-0.06	1.13
31541	-7.57	6.97	4.99	0.23	-0.05	1.17
31560	1.83	21.21	-0.64	0.20	-0.02	1.16
31578	2.55	27.51	0.82	0.12	0.08	1.34
31596	2.21	27.11	3.88	0.07	0.05	1.38
31614	7.60	14.92	7.39	0.01	0.00	1.37
31631	9.58	3.37	5.95	0.12	0.22	1.49
31650	-8.38	1.11	8.07	0.07	0.24	1.50
31667	-15.24	-3.28	9.80	0.04	0.17	1.50
31686	-17.59	-13.57	12.05	0.09	0.03	1.41
31704	-11.80	-12.13	8.53	0.27	0.15	1.52
31723	-18.86	4.03	4.58	0.29	0.17	1.66
31742	-18.11	13.47	2.59	0.19	0.03	1.61
31759	-12.47	15.40	2.17	0.23	-0.01	1.56
31777	1.01	22.45	-0.14	0.25	0.04	1.67
31795	7.83	28.84	-3.36	0.18	0.11	1.78
31813	6.23	24.05	-4.06	0.12	0.19	1.74
31830	2.24	20.13	-3.36	0.13	0.24	1.67
31848	-9.52	14.63	-1.88	0.14	0.24	1.65
31866	-23.67	11.98	-1.40	0.15	0.25	1.55
31885	-37.06	11.15	-2.15	0.14	0.21	1.54
31903	-43.18	7.43	-4.26	0.11	0.10	1.55
31921	-41.60	4.21	-6.32	0.11	0.04	1.55
31939	-29.45	-0.43	-11.20	0.17	-0.03	1.54
31960	-14.59	4.38	-13.41	0.22	0.01	1.52
31978	-5.94	12.31	-11.96	0.17	0.03	1.47
31997	-0.78	14.01	-9.49	0.13	0.07	1.42
32015	-1.82	13.69	-7.64	0.13	0.10	1.38
32033	-3.89	14.10	-7.39	0.14	0.09	1.35
32053	-9.75	15.90	-8.04	0.11	0.11	1.29
32071	-17.78	13.99	-9.16	0.06	0.09	1.24
32090	-24.57	8.24	-11.06	0.06	0.05	1.18
32108	-28.21	4.88	-14.05	0.10	0.00	1.12
32126	-29.25	5.83	-17.40	0.08	-0.03	1.07
32145	-28.43	5.33	-18.62	0.05	-0.09	1.02
32164	-22.84	1.89	-20.29	0.05	-0.11	1.00
32183	-14.69	-0.60	-20.87	0.08	-0.13	0.94
32203	-5.91	0.23	-19.93	0.07	-0.15	0.90
32221	4.03	0.67	-17.07	0.06	-0.17	0.85
32240	15.03	1.14	-12.33	0.07	-0.19	0.79
32259	25.85	3.11	-6.52	0.07	-0.19	0.73
32277	31.02	4.36	-3.13	0.07	-0.19	0.70
32296	40.36	6.67	4.33	0.06	-0.17	0.65
32314	47.04	7.71	12.15	0.04	-0.16	0.59
32331	50.95	8.10	19.70	0.03	-0.15	0.53
32350	52.54	5.49	27.76	-0.02	-0.11	0.47
32369	51.47	2.38	32.47	-0.04	-0.10	0.44
32388	49.09	-6.03	42.02	-0.04	-0.12	0.37
32406	47.45	-11.99	49.32	-0.01	-0.13	0.29
32425	47.15	-15.58	54.24	-0.00	-0.13	0.23
32444	46.10	-16.94	59.37	0.03	-0.11	0.19
32463	42.68	-13.93	65.09	0.04	-0.08	0.15
32481	39.86	-11.70	66.94	0.02	-0.07	0.13
32500	33.77	-8.87	66.89	0.01	-0.07	0.13
32518	28.26	-7.40	62.32	0.01	-0.06	0.16
32536	21.61	-6.24	56.08	0.01	-0.04	0.19
32555	14.27	-6.10	48.60	-0.01	-0.04	0.23
32574	6.73	-8.33	39.02	-0.02	-0.02	0.26
32594	-2.18	-11.66	27.24	-0.01	-0.01	0.30
32613	-6.70	-12.77	21.47	0.01	-0.03	0.34
32631	-13.69	-12.92	12.02	-0.02	-0.04	0.36
32651	-19.35	-17.93	2.30	-0.01	-0.00	0.41
32671	-27.62	-22.86	-8.10	-0.01	0.00	0.49
32691	-33.65	-27.44	-13.17	0.02	-0.02	0.52
32710	-37.08	-27.73	-11.95	0.06	-0.01	0.62
32729	-40.63	-25.25	-13.82	0.10	-0.03	0.72
32749	-38.53	-22.89	-19.21	0.08	-0.09	0.84
32768	-28.08	-22.06	-17.99	0.11	-0.11	0.91
32788	-14.60	-14.86	-12.31	0.21	-0.11	1.01
32807	-1.10	0.47	-12.27	0.24	-0.09	1.14
32826	4.81	7.93	-13.37	0.19	-0.06	1.18
32845	12.25	14.95	-12.39	0.13	0.03	1.19
32862	10.80	17.59	-7.51	0.15	0.08	1.31
32882	10.04	19.87	-4.46	0.16	0.06	1.38
32900	10.70	23.18	-3.40	0.12	0.10	1.32
32917	8.61	22.92	-2.69	0.11	0.20	1.36
32936	-9.98	19.79	3.30	0.07	0.28	1.51
32953	-22.72	9.16	10.59	0.02	0.10	1.50
32972	-15.84	-2.49	13.60	0.12	0.01	1.54
32991	-6.67	-2.69	15.00	0.20	0.06	1.75
33009	-2.01	-1.85	15.82	0.15	-0.01	1.74
33029	12.57	-3.95	16.72	0.17	-0.02	1.66
33047	25.97	-0.52	15.23	0.25	0.08	1.65
33064	25.05	11.09	12.83	0.30	0.23	1.70
33083	10.73	23.76	12.79	0.23	0.29	1.64
33100	1.75	27.44	13.50	0.20	0.29	1.64
33117	-14.95	29.69	14.82	0.17	0.25	1.62
33136	-25.99	29.62	13.21	0.16	0.18	1.55
33154	-30.65	28.84	9.22	0.13	0.14	1.53
33173	-30.91	27.24	7.06	0.08	0.06	1.55
33191	-24.52	18.95	2.76	0.07	0.01	1.55
33208	-9.20	8.61	-2.85	0.10	-0.02	1.54
33228	4.03	5.26	-8.38	0.18	0.06	1.49
33245	5.33	11.52	-12.95	0.19	0.15	1.43
33263	2.58	15.12	-14.72	0.17	0.16	1.40
33282	-6.62	19.41	-19.01	0.15	0.18	1.36
33300	-18.95	23.33	-24.32	0.16	0.17	1.32
33319	-30.55	26.49	-30.78	0.10	0.14	1.28
33337	-39.96	23.12	-37.17	0.05	0.11	1.24
33355	-43.55	19.84	-40.18	0.04	0.06	1.19
33374	-48.45	13.35	-46.04	0.05	0.04	1.16
33393	-50.54	8.12	-52.19	0.05	0.01	1.12
33412	-50.31	4.47	-59.13	0.07	-0.05	1.07
33430	-46.37	3.04	-66.45	0.07	-0.08	1.02
33449	-40.13	0.93	-72.68	0.05	-0.11	0.97
33468	-32.65	-2.58	-76.87	0.03	-0.14	0.93
33488	-24.49	-6.84	-78.77	0.04	-0.16	0.89
33508	-15.05	-8.97	-78.02	0.04	-0.18	0.85
33527	-9.57	-9.90	-76.49	0.04	-0.19	0.83
33547	2.91	-12.10	-71.35	0.04	-0.21	0.78
33566	15.66	-14.21	-63.52	0.04	-0.21	0.73
33585	27.28	-14.63	-54.31	0.06	-0.20	0.68
33605	35.87	-11.98	-44.37	0.08	-0.18	0.61
33623	42.19	-7.43	-34.45	0.10	-0.17	0.55
33643	46.39	-0.11	-23.70	0.10	-0.15	0.47
33661	49.01	6.58	-11.23	0.08	-0.14	0.40
33679	49.93	8.97	-4.71	0.06	-0.13	0.36
33699	49.44	11.87	8.22	0.04	-0.10	0.30
33717	47.93	11.73	18.42	0.01	-0.11	0.24
33734	46.31	8.44	24.49	-0.01	-0.10	0.19
33753	44.01	3.98	27.63	-0.00	-0.09	0.14
33771	42.53	3.20	28.85	0.01	-0.10	0.10
33790	40.24	2.20	31.45	-0.01	-0.10	0.10
33809	39.17	-1.63	33.71	-0.02	-0.08	0.12
33827	35.28	-6.48	33.89	-0.03	-0.05	0.15
33846	28.66	-11.40	33.46	-0.03	-0.06	0.19
33865	23.22	-17.17	32.75	-0.05	-0.06	0.24
33884	18.20	-24.72	30.98	-0.04	-0.06	0.29
33904	15.35	-28.21	29.74	-0.04	-0.03	0.33
33923	8.15	-35.28	28.70	-0.05	-0.02	0.37
33942	-0.32	-44.48	31.81	-0.04	-0.02	0.43
33961	-7.80	-50.34	32.88	0.02	-0.03	0.47
33980	-17.06	-49.12	31.19	0.07	0.02	0.56
33999	-25.51	-46.05	32.29	0.09	-0.06	0.67
34019	-22.80	-37.73	34.10	0.19	-0.11	0.76
34037	-20.14	-21.94	33.65	0.24	-0.03	0.84
34056	-20.72	-12.44	32.10	0.20	-0.08	0.92
34075	-15.82	2.99	30.73	0.17	-0.15	0.94
34094	2.06	12.94	32.27	0.20	-0.15	1.07
34112	13.85	24.61	33.72	0.20	-0.04	1.12
34130	19.65	33.39	35.16	0.15	-0.03	1.12
34148	23.13	35.28	36.88	0.10	0.03	1.23
34166	25.94	33.94	42.28	0.08	0.17	1.26
34183	12.97	27.53	49.07	0.06	0.14	1.29
34202	6.24	20.39	50.86	0.07	0.11	1.31
34219	-2.50	15.79	52.15	0.12	0.26	1.50
34237	-11.69	14.22	54.38	0.09	0.24	1.53
34255	-20.25	7.39	57.95	0.07	0.07	1.44
34273	-16.62	3.17	59.01	0.15	0.11	1.52
34290	-16.92	4.75	60.68	0.17	0.11	1.67
34309	-15.40	5.04	61.75	0.18	0.07	1.73
34327	-4.62	6.59	64.12	0.22	-0.03	1.74
34345	15.23	11.60	64.90	0.25	-0.06	1.71
34363	31.68	19.06	64.13	0.25	0.07	1.71
34381	34.06	22.81	64.06	0.25	0.13	1.68
34398	30.14	32.15	62.96	0.27	0.18	1.61
34417	20.61	43.91	60.73	0.26	0.24	1.59
34434	6.01	50.57	58.70	0.16	0.26	1.58
34452	-1.40	49.88	57.25	0.11	0.20	1.56
34470	-11.96	44.39	50.99	0.10	0.16	1.57
34487	-13.14	36.53	40.53	0.10	0.10	1.58
34506	-9.83	26.06	30.59	0.04	0.06	1.58
34524	-4.14	12.48	21.82	0.05	0.07	1.54
34543	-2.06	6.53	16.24	0.08	0.07	1.53
34560	-1.27	1.37	0.82	0.14	0.11	1.50
34578	-6.32	3.75	-19.78	0.17	0.13	1.45
34598	-15.03	7.83	-43.46	0.14	0.14	1.38
34617	-25.65	10.10	-69.85	0.11	0.13	1.34
34635	-31.34	9.60	-83.47	0.09	0.13	1.32
34654	-43.26	5.89	-111.82	0.07	0.12	1.27
34672	-54.93	2.11	-139.66	0.10	0.09	1.22
